Generation;Training Accuracy;
0;0,6636;
1;0,7329;
2;0,7425;
3;0,7425;
4;0,7425;
5;0,7425;
6;0,7425;
7;0,7425;
8;0,7425;
9;0,7425;
10;0,7425;
11;0,7425;
12;0,7425;
13;0,7425;
14;0,7425;
15;0,7425;
16;0,7425;
17;0,7425;
18;0,7425;
19;0,7425;
20;0,7425;
21;0,7425;
22;0,7425;
23;0,7425;
24;0,7425;
25;0,7425;
26;0,7425;
27;0,7425;
28;0,7425;
29;0,7425;
30;0,7425;
31;0,7425;
32;0,7425;
33;0,7425;
34;0,7425;
35;0,7425;
36;0,7425;
37;0,7425;
38;0,7425;
39;0,7425;
40;0,7425;
41;0,7425;
42;0,7425;
43;0,7425;
44;0,7425;
45;0,7425;
46;0,7425;
47;0,7425;
48;0,7425;
49;0,7425;
