ILS;SA
90;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
81;81
